FactionTag,PlayerName,GridName,NumberOfSubGrids,TotalBlocks,X,Y,Z,Server
ERG,Furaites,ERG Folley,1,497,-314236.837343658,-2200022.46725488,-2798049.58744297,TDRAC02
ERG,Night Fox,Sveinn Miner,1,265,8696.3891999012,-1759536.67326004,-2660912.91785573,TDRAC02
WMC,whiskers,Whiskers space buggy,1,72,-184457.080192691,-2096357.97053776,-2817717.57971694,TDRAC02
TCO,o4mutt,Dirty Hauler,2,284,-341533.850600036,-2021641.91548335,-2830150.27772295,TDRAC02
ABN,Igo Solo,Igo staging Sub-7316 02,1,646,-317107.710705992,-1966730.85309009,-2904960.39459288,TDRAC02
ERG,Dr. Tesla,Mothership  06,4,256,-314273.329531158,-2199944.30514551,-2798088.71927891,TDRAC02
TIN,Tinsoldier,AsteroidBase Sub-7681,1,33,-300525.25628897,-2162432.30709863,-2812853.87894688,TDRAC02
ERG,Anuokan,Schedar 02,1,502,295799.48268536,-3056596.55536315,-3767148.20391481,TDRAC02
WMC,whiskers,WMC Space Base,2,35,-184457.434684879,-2096362.20979557,-2817718.06506851,TDRAC02
TVL,Sky_Blue,Fuel Station,3,140,-298540.773867095,-2161482.74459863,-2807861.45365391,TDRAC02
UFO,joachim,TML Hydrogen Cruiser,1,1928,142192.36057661,-2574023.24622529,-2796769.12723205,TDRAC02
RUC,Zikofski,Mia - SG Miner,1,94,-291793.86175772,-2175310.33541894,-2828303.9253336,TDRAC02
VSI,Izual,Processing Cube,1,829,234095.507681989,-1734062.66850487,-2759623.93164181,TDRAC02
XTS,Bob,PAM for XTS,1,105,-1311016.7407627,-260177.288789719,-2758797.16985107,TDRAC02
NMI,Lord Ovie,Jump Rig 01 01 03,1,115,-186313.979756995,-1701399.86494308,-2631680.90551078,TDRAC02
XTS,XTerm1986,XTS Zulu base Side Door,1,546,-1311072.4599239,-260132.837004804,-2758845.89376707,TDRAC02
ERG,Kittamaru,USS Venture,1,1100,-1312940.81081902,-253145.295996612,-2758986.77742511,TDRAC02
XTS,XTerm1986,XTS Devon 01,1,1860,-1311102.21439552,-260118.875703781,-2758741.060354,TDRAC02
ERG,Dr. Tesla,RotoRooter,7,46,-312892.882265533,-2199600.41842676,-2800813.2143961,TDRAC02
ERG,Anuokan,Schedar,1,174,-263245.428245171,-2249030.68659207,-2819032.81059478,TDRAC02
ERG,Dr. Tesla,SP-Asteroid-Base 10,1,63,-314220.243593658,-2199954.90280176,-2798106.8862711,TDRAC02
KTZ,klassekatze,Doomslaughterer,1,318,-153869.229312001,-1895520.54550033,-2682315.74201022,TDRAC02
ERG,NoOnePanic,ERG.Phoenix,1,1270,-522737.835048885,-2812365.70307338,-2500130.77778789,TDRAC02
UpO,Cornellius,Cornell's Ride 3.? 08,1,26,-170314.731304862,-1832845.84074101,-2692271.98623113,TDRAC02
TIN,Tinsoldier,AsteroidBase,3,139,-300526.995546783,-2162433.80319238,-2812850.98295079,TDRAC02
